combination,combination_size,mode,target,corr,mae,rmse,weighted_component
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,3,raw,Dry_Green_g,0.7242855584070425,12.051696765481857,17.98997246576333,0.4969980753050587
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,3,raw,Dry_Dead_g,0.08274939262967158,8.91479470566608,13.061648662491745,-0.11232135101224916
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,3,raw,Dry_Clover_g,-0.25663582555104303,6.816549258339764,13.357045024372473,-0.21841219068535378
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,3,raw,GDM_g,0.8104901553312325,10.564386924924236,15.029006278232451,0.6357233058111782
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,3,raw,Dry_Total_g,0.8135502174470989,11.407295224992769,16.62193311121069,0.6461972196868033
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,3,postprocess,Dry_Green_g,0.7242855584070425,12.051696765481857,17.98997246576333,0.4969980753050587
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,3,postprocess,Dry_Dead_g,0.07253542255400489,8.996001497181057,13.276854564398853,-0.14927689050091253
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,3,postprocess,Dry_Clover_g,-0.2574851103663099,6.733208193533511,13.42001286009925,-0.22992695570006383
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,3,postprocess,GDM_g,0.8103290540363941,10.62296957230294,15.650439071793977,0.6049756135076384
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov2-vitl-reg4-518,3,postprocess,Dry_Total_g,0.8095923376294359,11.598299628294132,17.917606263753136,0.5888898887121887
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,3,raw,Dry_Green_g,0.7368909579194809,11.83294356371989,17.63841446204076,0.5164651994939989
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,3,raw,Dry_Dead_g,0.08657266545643272,8.925140906789657,13.060209943858894,-0.1120763238554745
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,3,raw,Dry_Clover_g,-0.2548845058239724,6.8227122936909215,13.349008059482978,-0.21694638893893514
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,3,raw,GDM_g,0.8169122495005193,10.243097988714224,14.743177320579575,0.649447528902575
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,3,raw,Dry_Total_g,0.8224075097641897,11.087324104804885,16.21324156716091,0.6633815718385854
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,3,postprocess,Dry_Green_g,0.7368909579194809,11.83294356371989,17.63841446204076,0.5164651994939989
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,3,postprocess,Dry_Dead_g,0.07737410862340932,9.009250500360055,13.27059066511844,-0.148192709537446
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,3,postprocess,Dry_Clover_g,-0.2560187708669746,6.737598817990808,13.4134900228598,-0.22873162694375115
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,3,postprocess,GDM_g,0.8170255076303402,10.312927339210258,15.33336052540079,0.620819889123766
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vitl-1024-timm,3,postprocess,Dry_Total_g,0.8183872149241497,11.337309250475208,17.502051089019556,0.607738147285573
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,3,raw,Dry_Green_g,0.7458907519712722,11.697994031702036,17.406064085037116,0.5291204758454812
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,3,raw,Dry_Dead_g,0.061645689015950404,8.95761000518051,13.117521637172118,-0.12185791550662128
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,3,raw,Dry_Clover_g,-0.24980499186545055,6.804796856201163,13.332340417513473,-0.2139093147990634
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,3,raw,GDM_g,0.8214721054785846,10.279375618993935,14.600420437381501,0.6562033987327243
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,3,raw,Dry_Total_g,0.8163343758544613,11.374322559769146,16.44092833998694,0.6538607457876324
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,3,postprocess,Dry_Green_g,0.7458907519712722,11.697994031702036,17.406064085037116,0.5291204758454812
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,3,postprocess,Dry_Dead_g,0.0430812065256046,9.062280183270131,13.363022616202727,-0.16424313274012614
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,3,postprocess,Dry_Clover_g,-0.2510113027150579,6.721609366401437,13.400040839707282,-0.226268859690401
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,3,postprocess,GDM_g,0.8211747938221807,10.313107843202369,15.20025996704191,0.6273742301717505
dinov2-vitg-518 + dinov2-vitg-reg4-518 + dinov3-vithplus-896-timm,3,postprocess,Dry_Total_g,0.8110314882793613,11.602792309042918,17.72868366720855,0.5975136439512396
dinov2-vitg-518 + dinov2-vitl-reg4-518 + dinov3-vitl-1024-timm,3,raw,Dry_Green_g,0.7330544610153021,11.912081210327147,17.694498439426802,0.5133853684098266
